,ID2,ID,State,Sex,Start,End,COD,Days.Monitored,Year_Status,Survival,Status_clean
86,GA32F,"[GA32F,Intercept]",GA,F,1/26/2016,11/20/2016,Harvested,299,Dead,0,both
90,GA36M,"[GA36M,Intercept]",GA,M,1/28/2016,1/30/2016,Harvested,2,Dead,-99,unknown
95,GA41M,"[GA41M,Intercept]",GA,M,1/29/2016,12/10/2016,Harvested,316,Dead,0,resident
97,GA43M,"[GA43M,Intercept]",GA,M,1/30/2016,10/22/2016,Harvested,266,Dead,0,both
101,GA47M,"[GA47M,Intercept]",GA,M,1/31/2016,4/21/2017,Harvested,446,Dead,0,transient
109,SC02M,"[SC02M,Intercept]",SC,M,2/28/2015,1/4/2017,Harvested,676,Live,0,both
111,SC04F,"[SC04F,Intercept]",SC,F,2/25/2015,11/5/2016,Harvested,619,Dead,0,transient
112,SC05M,"[SC05M,Intercept]",SC,M,3/23/2015,11/19/2015,Harvested,241,Dead,0,resident
113,SC06M,"[SC06M,Intercept]",SC,M,3/13/2015,10/12/2015,Harvested,213,Dead,0,both
117,SC10F,"[SC10F,Intercept]",SC,F,2/24/2015,11/30/2016,Harvested,645,Live,1,resident
119,SC12M,"[SC12M,Intercept]",SC,M,3/22/2015,3/27/2015,Harvested,5,Dead,0,unknown
121,SC14M,"[SC14M,Intercept]",SC,M,2/21/2015,7/11/2015,Harvested,140,Dead,0,resident
130,SC23M,"[SC23M,Intercept]",SC,M,3/30/2015,9/3/2016,Harvested,523,Dead,0,resident
132,SC25F,"[SC25F,Intercept]",SC,F,2/24/2015,10/9/2015,Harvested,227,Dead,0,transient
139,SC32M,"[SC32M,Intercept]",SC,M,1/8/2016,10/29/2016,Harvested,295,Dead,0,transient
142,SC35M,"[SC35M,Intercept]",SC,M,1/9/2016,1/10/2016,Harvested,1,Dead,-99,unknown
155,SC48F,"[SC48F,Intercept]",SC,F,1/14/2016,4/20/2016,Harvested,97,Dead,0,both
156,SC49M,"[SC49M,Intercept]",SC,M,1/14/2016,4/3/2016,Harvested,80,Dead,0,transient
159,SC52M,"[SC52M,Intercept]",SC,M,1/14/2016,1/21/2016,Harvested,7,Dead,0,unknown
162,SC55M,"[SC55M,Intercept]",SC,M,1/15/2016,1/22/2016,Harvested,7,Dead,0,unknown
165,SC58F,"[SC58F,Intercept]",SC,F,10/21/2016,1/12/2017,Harvested,83,Dead,0,transient
166,SC59F,"[SC59F,Intercept]",SC,F,10/26/2016,1/29/2017,Harvested,95,Dead,0,resident
167,SC60F,"[SC60F,Intercept]",SC,F,10/27/2016,1/27/2017,Harvested,92,Dead,0,unknown
168,SC61F,"[SC61F,Intercept]",SC,F,10/29/2016,1/24/2017,Harvested,87,Dead,0,unknown
169,SC62M,"[SC62M,Intercept]",SC,M,10/30/2016,1/20/2017,Harvested,82,Dead,0,unknown
170,SC63F,"[SC63F,Intercept]",SC,F,11/2/2016,1/20/2017,Harvested,79,Dead,0,unknown
172,SC65F,"[SC65F,Intercept]",SC,F,11/8/2016,2/15/2017,Harvested,99,Dead,0,unknown
174,SC67F,"[SC67F,Intercept]",SC,F,12/12/2016,2/12/2017,Harvested,62,Dead,0,unknown
181,SC74M,"[SC74M,Intercept]",SC,M,1/25/2017,3/21/2017,Harvested,55,Dead,0,unknown
1,AL01F,"[AL01F,Intercept]",AL,F,2/6/2015,11/17/2016,NA,650,Live,1,transient
7,AL07M,"[AL07M,Intercept]",AL,M,2/3/2015,12/14/2015,NA,314,Live,1,resident
8,AL08F,"[AL08F,Intercept]",AL,F,2/10/2015,12/3/2016,NA,662,Live,1,both
13,AL13F,"[AL13F,Intercept]",AL,F,2/5/2015,11/10/2016,NA,644,Live,1,both
24,AL24F,"[AL24F,Intercept]",AL,F,2/14/2015,12/2/2016,NA,657,Live,1,resident
26,AL26M,"[AL26M,Intercept]",AL,M,2/15/2015,11/5/2016,NA,629,Live,1,resident
27,AL27F,"[AL27F,Intercept]",AL,F,10/21/2015,5/26/2016,NA,218,Live,1,both
28,AL28M,"[AL28M,Intercept]",AL,M,10/21/2015,11/26/2015,NA,36,Live,1,resident
